model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
TMSFF,42,46,4700,1.8152262706996427,1.817265022490593,1.8185572472724243
TMSFF,42,47,4800,1.8152262706996427,1.817265022490593,1.8176607078428249
TMSFF,42,48,4900,1.8152262706996427,1.8152262706996427,1.8567242107103765
TMSFF,42,49,5000,1.8152137685602783,1.8152262706996427,1.8627090169095135
TMSFF,42,50,5100,1.8152137685602783,1.8152262706996427,1.934056990367783
TMSFF,42,51,5200,1.8150058520103025,1.8152262706996427,1.8568066858948182
TMSFF,42,52,5300,1.8148545825592748,1.8152262706996427,1.8311862850221947
TMSFF,42,53,5400,1.8148545825592748,1.8152137685602783,1.8250626483943801
TMSFF,42,54,5500,1.8148545825592748,1.8150734174568404,1.8206723732789425
TMSFF,42,55,5600,1.8148545825592748,1.8148545825592748,1.8620377998788376
TMSFF,42,56,5700,1.8148545825592748,1.8148545825592748,1.9029919104343787
TMSFF,42,57,5800,1.8148545825592748,1.8148545825592748,1.8196533353880784
TMSFF,42,58,5900,1.8148545825592748,1.8148545825592748,1.817644976785832
TMSFF,42,59,6000,1.8148545825592748,1.8148545825592748,1.822315572361485
TMSFF,42,60,6100,1.8148545825592748,1.8148545825592748,1.8278025560009192
TMSFF,42,61,6200,1.8148545825592748,1.8148545825592748,1.8173514256273293
TMSFF,42,62,6300,1.8148545825592748,1.8148545825592748,1.8211004599638227
TMSFF,42,63,6400,1.8148545825592748,1.8148545825592748,1.8251792438497625
TMSFF,42,64,6500,1.8145574389569,1.8148545825592748,1.8221869279694767
TMSFF,42,65,6600,1.8145574389569,1.8148545825592748,1.9032114460949041
TMSFF,42,66,6700,1.8145574389569,1.8148545825592748,1.8315287363701305
TMSFF,42,67,6800,1.8145574389569,1.8148545825592748,1.8175017360818808
TMSFF,42,68,6900,1.8145574389569,1.8147114718200226,1.8784988238027551
TMSFF,42,69,7000,1.8144952996392547,1.8145574389569,1.9539136614289163
TMSFF,42,70,7100,1.8144952996392547,1.8145574389569,1.856351302978655
TMSFF,42,71,7200,1.8144952996392547,1.8145574389569,1.8832510062890335
TMSFF,42,72,7300,1.8144952996392547,1.8145574389569,1.8202503259620146
TMSFF,42,73,7400,1.8144952996392547,1.8145574389569,1.8170272549552613
TMSFF,42,74,7500,1.8144952996392547,1.8144952996392547,1.8196985599910573
TMSFF,42,75,7600,1.8144952996392547,1.8144952996392547,1.837370710496071
TMSFF,42,76,7700,1.8144952996392547,1.8144952996392547,1.8159058014380998
TMSFF,42,77,7800,1.8144952996392547,1.8144952996392547,1.8171828857418382
TMSFF,42,78,7900,1.8144952996392547,1.8144952996392547,1.8220747119889456
TMSFF,42,79,8000,1.8144952996392547,1.8144952996392547,1.8338197013336615
TMSFF,42,80,8100,1.8144952996392547,1.8144952996392547,1.8379212840183268
TMSFF,43,0,100,2.038533253761855,3.480475523107441,4.660055301842584
TMSFF,43,1,200,2.010210953108498,2.844378710677666,2.9604478757456496
TMSFF,43,2,300,1.95288444085013,2.4512100876110066,2.554208238742513
TMSFF,43,3,400,1.95288444085013,2.2591082486109753,2.3602058709152964
TMSFF,43,4,500,1.9440762578733362,2.1263408461658804,2.156974610730131
TMSFF,43,5,600,1.921067479795138,2.038533253761855,2.0686763874075953
TMSFF,43,6,700,1.860845257563326,1.9994093351023603,2.0186054565099623
TMSFF,43,7,800,1.8366059927947547,1.977307744103256,2.017512696005269
TMSFF,43,8,900,1.8366059927947547,1.94605023732559,1.9610392191786123
TMSFF,43,9,1000,1.8366059927947547,1.9261517671085278,1.937624020421301
TMSFF,43,10,1100,1.8243586030945922,1.8853580092767652,1.9565684476745893
TMSFF,43,11,1200,1.8243586030945922,1.860845257563326,1.8663966951991122
TMSFF,43,12,1300,1.822750721979302,1.8366059927947547,1.844194302373347
TMSFF,43,13,1400,1.822750721979302,1.836567188555308,1.8426701845814497
TMSFF,43,14,1500,1.8190949563865668,1.833981325334613,1.8334865662333297
TMSFF,43,15,1600,1.8190949563865668,1.8247294754041314,1.8355280763065753
TMSFF,43,16,1700,1.8190949563865668,1.8243678165091326,1.8754800055580887
TMSFF,43,17,1800,1.8190949563865668,1.8239853332799296,1.830665707905435
TMSFF,43,18,1900,1.8190949563865668,1.8227859048388297,1.8404887906365581
TMSFF,43,19,2000,1.818888172739933,1.822726244213806,1.8766586362687685
TMSFF,43,20,2100,1.818888172739933,1.8219801383664873,1.8315314090037136
TMSFF,43,21,2200,1.818888172739933,1.8219854703408287,1.840363582326056
TMSFF,43,22,2300,1.818888172739933,1.821757531043606,1.8382999070202108
