x1,y1,x2,y2,v1,v2,a1,a2,c1,c2,s1,s2
17.6110878,34.87453177,-3.89675951,24.4736161,9.49754775990255,6.738531291439796,-0.5732297907317729,1.1170664179785472,0.7274392795690633,0.19903628409857543,37.73964309182881,13.931220294990561
18.32044029,35.50608001,-3.23620987,24.60685353,9.440224780829373,6.850237933237651,-1.030456930230752,1.1063360276475898,0.74531331670894,0.21514128731461812,38.6894116322623,14.605080601157008
19.01417923,36.14631803,-2.56697845,24.75309615,9.337179087806298,6.96087153600241,-1.3864005272746027,1.102088551710274,0.7618251107195845,0.23143793340218183,39.63344567761294,15.29011189597058
19.68979645,36.79081047,-1.88945067,24.91276278,9.198539035078838,7.071080391173437,-1.6213338009634803,1.09785447555371,0.7772781689569963,0.24786258220176888,40.567173452379635,15.986206824410562
20.34549141,37.43594249,-1.20395255,25.08623931,9.03640565498249,7.180865838728808,-1.7450889777588863,1.0934946840529403,0.7920016944114349,0.26435771997478164,41.487036013648236,16.6933228560278
20.98022842,38.07911836,-0.51081192,25.27386769,8.861896757206601,7.290215307134102,-1.771553956865457,1.0799263906299128,0.8063260027736481,0.28087244154758556,42.39068446105062,17.411417600799414
21.59360886,38.71872494,0.18964215,25.47594809,8.684741361520055,7.398207946197093,-1.720734236454522,1.0503989724578044,0.8205620797346354,0.29736233122300954,43.276881610237645,18.140447410754646
22.18574333,39.35403911,0.89699417,25.69271508,8.512667937874603,7.503247843442874,-1.6069327143824452,0.9900938214249599,0.8349867424315092,0.31378877308977693,44.145363124547764,18.880276561445662
22.75710297,39.98507264,1.6106813,25.92431379,8.351974666436359,7.60225722558537,-1.4609839639721933,0.8969229281577107,0.8498330013623859,0.3301175550999649,44.99663747940419,19.630609738126463
23.308424,40.61244807,2.32985806,26.17074418,8.20587627003914,7.691949518401141,-1.2909926734215382,0.7586216701617587,0.865283089104129,0.3463181355203616,45.831842900243636,20.390843848964597
23.84051323,41.23714408,3.05338502,26.43183729,8.076777002696986,7.767811685417317,-1.1076861561352302,0.5777506004185184,0.8814646211106969,0.36236299263577076,46.652439059822214,21.160047137870087
24.35421371,41.86040573,3.77972341,26.70719438,7.966008387083463,7.8255867454591685,-0.9185407857898653,0.3510837215242102,0.898450297018708,0.3782274056890084,47.460125998655634,21.936836551977848
24.85035515,42.48363648,4.50697136,26.99617275,7.874154308504476,7.86069511761159,-0.7309849451649164,0.10115021749749431,0.9162596349610929,0.39388957276665554,48.25673688819857,22.719403338386453
25.32972717,43.10831682,5.23284626,27.29785289,7.801055813987984,7.870810139361339,-0.5221631519172121,-0.16396979975764836,0.9348624351576058,0.40933194550440477,49.04416320353853,23.505480777531254
