trajectory_no,leader_id,follower_id,entry_lane,exit_lane,start_frame,end_frame,overlap_frames,duration_s,overlap_turn_deg,leader_ahead_share,heading_agreement_share,median_spacing_m,spacing_p95_m,median_lateral_offset_m,route_balanced_subset,representative
24,2782,2789,29,19,4795,4977,183,6.1,-80.19850636541987,1.0,1.0,15.087434894729162,18.731499025300348,3.3484723116848465,False,False
25,2823,2833,29,19,4906,5102,197,6.566666666666666,-81.6032805413783,1.0,1.0,12.981849207286622,16.041159296833744,3.045718860624701,False,False
26,2833,2850,29,19,4962,5136,175,5.833333333333333,-59.4911231984893,1.0,1.0,21.67857321450768,30.530982795726434,5.014268444504669,False,False
27,2878,2893,29,19,5080,5319,240,8.0,-81.59909011672063,1.0,1.0,12.93750126880417,16.68040025918365,1.165965514977845,True,False
28,2893,2904,29,19,5137,5360,224,7.466666666666667,-80.06473184602117,1.0,1.0,14.269177929173011,16.779372401994394,2.196216894774284,False,False
29,2904,2912,29,19,5204,5395,192,6.4,-75.54312428759714,1.0,1.0,18.278908122179345,23.91164334165272,4.674994988433571,False,False
30,2912,2921,29,19,5272,5455,184,6.133333333333334,-64.20259576414546,1.0,1.0,21.902986166631678,28.881877608659416,5.588558118989001,False,False
31,2767,2777,30,17,4725,4929,205,6.833333333333333,-80.98043837719077,1.0,1.0,16.574760213680555,21.266430594816143,4.689529724678194,False,False
32,2801,2820,30,17,4876,5108,233,7.766666666666667,-80.52549733844381,1.0,1.0,15.751877121728779,21.400870426962616,4.433097996961974,False,False
33,2820,2828,30,17,4923,5154,232,7.733333333333333,-81.69744760477444,1.0,1.0,11.32438646095275,14.486867352498136,0.5194790739624873,True,False
34,2872,2888,30,17,5066,5304,239,7.966666666666667,-83.03426963431579,1.0,1.0,14.889610547442105,15.88720668668294,1.8960343725464721,False,False
35,2060,2080,34,0,2971,3187,217,7.233333333333333,83.00601875760005,1.0,1.0,13.111205246510577,22.145328560641694,3.638669565389252,False,False
36,2553,2563,34,0,3763,3937,175,5.833333333333333,82.03416566864801,1.0,1.0,12.2055444069027,14.305067884801087,2.2725003236210033,True,False
37,1909,1940,34,1,1832,2042,211,7.033333333333333,81.82194628654577,1.0,1.0,16.391452035182716,22.044923565225336,4.440707051662542,True,False
38,2910,2918,35,17,5256,5427,172,5.733333333333333,-67.60329354903169,1.0,1.0,23.195447790450608,29.145770780094438,5.942423288336222,True,False
