time_s,model,s_m,v_mps,a_mps2,gap_m
64.60000000000001,T-IDM,628.5517040152475,9.342486359327077,-0.3044650295383519,29.061525484245408
64.7,T-IDM,629.4844303260326,9.312039856373243,-0.27888919937189993,28.977983558338906
64.8,T-IDM,630.414239865673,9.284150936436053,-0.28982596310201586,28.892167335492104
64.9,T-IDM,631.3412058295012,9.25516834012585,-0.2732805799038141,28.810386010557522
65.0,T-IDM,632.2653562606142,9.22784028213547,-0.24649360969872758,28.73525467905074
65.10000000000001,T-IDM,633.1869078207793,9.203190921165596,-0.24914830390424433,28.65988122883607
65.2,T-IDM,634.1059811713764,9.178276090775173,-0.26597933403960883,28.580765234648197
65.3,T-IDM,635.0224788837837,9.151678157371212,-0.21004837027620796,28.515084723498035
65.4,T-IDM,635.9365964576695,9.130673320343591,-0.2250096339998273,28.4464252976112
65.5,T-IDM,636.8485387415338,9.108172356943609,-0.20200414699762165,28.383461989877787
65.60000000000001,T-IDM,637.7583459564933,9.087971942243847,-0.18248486794103924,28.325597549086524
65.7,T-IDM,638.6662307263779,9.069723455449743,-0.18582795474823607,28.26735943919539
65.8,T-IDM,639.5722739321492,9.05114065997492,-0.18574735781697063,28.209443644155726
65.9,T-IDM,640.4764592613576,9.032565924193221,-0.156451591536876,28.158866492600964
66.0,T-IDM,641.3789335958193,9.016920765039535,-0.1197968378968207,28.117627116575704
66.10000000000001,T-IDM,642.2800266881337,9.004941081249852,-0.11136916925846545,28.078979151676663
66.2,T-IDM,643.1799639504125,8.993804164324006,-0.1552015443088983,28.030148338680533
66.3,T-IDM,644.0785683591233,8.978284009893116,-0.10019266356305732,27.99469251540313
66.4,T-IDM,644.9758957967948,8.96826474353681,-0.10036331718239438,27.959817022849734
66.5,T-IDM,645.8722204545626,8.95822841181857,-0.05073544174103295,27.937409042111653
66.60000000000001,T-IDM,646.7677896185357,8.953154867644468,-0.0968533297536782,27.904336732326897
66.7,T-IDM,647.6626208386515,8.9434695346691,-0.06495367457953422,27.879122800280584
66.8,T-IDM,648.5566430237454,8.936974167211147,-0.05319683507590197,27.857274901750202
