model,seed,generation,best_rmse_m,median_rmse_m,mean_rmse_m
T-IDM,42,58,0.23305755267180756,0.24713840305789636,0.2760570035687479
T-IDM,42,59,0.23272955190638958,0.24705638326005253,0.2879331967179745
T-IDM,42,60,0.23272955190638958,0.24705638326005253,0.30631173255395067
T-IDM,42,61,0.23272955190638958,0.24705638326005253,0.2870651675999014
T-IDM,42,62,0.23272955190638958,0.24699751196240677,0.2866424462007487
T-IDM,42,63,0.23272955190638958,0.23642268360988936,0.26783710856573445
T-IDM,42,64,0.2327185348760388,0.23305755267180756,0.23744023729798408
T-IDM,42,65,0.2327185348760388,0.23272955190638958,0.25659021466951626
T-IDM,42,66,0.22712744379259223,0.23272955190638958,0.23801342541412068
T-IDM,42,67,0.22712744379259223,0.23272955190638958,0.24320711062800257
T-IDM,42,68,0.22712744379259223,0.2327188208210219,0.25514679755165787
T-IDM,42,69,0.22712744379259223,0.2327185348760388,0.2703510672401038
T-IDM,42,70,0.2271069820641337,0.2327185348760388,0.24522925232563308
T-IDM,42,71,0.2265972777371524,0.2327185348760388,0.2528060561701035
T-IDM,42,72,0.2265972777371524,0.23270116330405458,0.24044080325976705
T-IDM,42,73,0.2265972777371524,0.23269404536205077,0.2376839333270425
T-IDM,42,74,0.2265972777371524,0.23269404536205077,0.24608805294602729
T-IDM,42,75,0.22441808535876404,0.23261350556102328,0.25104076274935727
T-IDM,42,76,0.22441808535876404,0.23250823036694168,0.24478719527661472
T-IDM,42,77,0.22441808535876404,0.23266101775512782,0.2588951062595957
T-IDM,42,78,0.22441808535876404,0.2292536259077987,0.24699225958018467
T-IDM,42,79,0.22441715653959904,0.22713299337283385,0.2511304400355967
T-IDM,42,80,0.22427071952729635,0.22490785201452873,0.23748495832738328
T-IDM,43,0,0.3019913544589333,3.0808312285283526,3.3241475177441178
T-IDM,43,1,0.25710366684394764,1.5351289645755892,1.86915832703736
T-IDM,43,2,0.25710366684394764,1.0124669602178036,1.4191625111770876
T-IDM,43,3,0.24310781012999438,0.6351753877333337,1.1392755233722351
T-IDM,43,4,0.23742706968596256,0.5488842722875432,0.8186992197728425
T-IDM,43,5,0.23742706968596256,0.5537959161972651,0.9725133271216836
T-IDM,43,6,0.23742706968596256,0.37948391584981317,0.6513727664155708
T-IDM,43,7,0.23742706968596256,0.3924621093760224,0.7851832374910438
T-IDM,43,8,0.23742706968596256,0.3216153070837885,0.6219341689223638
T-IDM,43,9,0.23742706968596256,0.328662762520457,0.6067942565693196
T-IDM,43,10,0.23742706968596256,0.2933870751875046,0.5406518169357475
T-IDM,43,11,0.23742706968596256,0.2622452626034696,0.4019785771271616
T-IDM,43,12,0.23742706968596256,0.25973943841742175,0.2988936397428297
T-IDM,43,13,0.2373260729855761,0.2481908475036908,0.285465178572181
T-IDM,43,14,0.23164616916656186,0.24630752472486497,0.2755782151197571
T-IDM,43,15,0.23164616916656186,0.24450361628454703,0.2853582959417138
T-IDM,43,16,0.22961424974413663,0.24229337683038588,0.2640862953672016
T-IDM,43,17,0.2280134747395255,0.24212960604979422,0.26900643626080184
T-IDM,43,18,0.22624940830761506,0.2421183116495687,0.2659285565379476
T-IDM,43,19,0.22624940830761506,0.2421183116495687,0.2811310892030748
T-IDM,43,20,0.22624940830761506,0.2421183116495687,0.2744144558968204
T-IDM,43,21,0.22624940830761506,0.2549200363060339,0.30687014522685874
T-IDM,43,22,0.22608905012544084,0.23622684582927916,0.2676666600978099
T-IDM,43,23,0.22608905012544084,0.2280134747395255,0.24913942369401487
T-IDM,43,24,0.22588387132360987,0.22624940830761506,0.24049092509525283
T-IDM,43,25,0.22588387132360987,0.22624940830761506,0.24305407910787527
T-IDM,43,26,0.22588387132360987,0.22608905012544084,0.23159387362535522
T-IDM,43,27,0.225863764322723,0.22608905012544084,0.24317111939894137
T-IDM,43,28,0.22580086795841578,0.2260859344742388,0.24049332834694073
T-IDM,43,29,0.22580086795841578,0.22590515703325564,0.24434269024226304
T-IDM,43,30,0.22573262321997795,0.22588387132360987,0.23113267186279213
T-IDM,43,31,0.22573235528760507,0.2258385525948295,0.23138579852975968
T-IDM,43,32,0.22570172434893598,0.22578530557248858,0.2416756993570417
T-IDM,43,33,0.22570172434893598,0.22573262321997795,0.234612531900213
T-IDM,43,34,0.22566118569218135,0.22573262321997795,0.23339950250403507
T-IDM,43,35,0.22561309815540237,0.22573135510311995,0.23434169338173333
T-IDM,43,36,0.22561309815540237,0.22570172434893598,0.23063036193499362
T-IDM,43,37,0.22561040796346085,0.225655160275083,0.23504235103342475
T-IDM,43,38,0.22561040796346085,0.22562468961157553,0.23705422164709972
T-IDM,43,39,0.2241913483011754,0.22561309815540237,0.23687547535941428
T-IDM,43,40,0.2241913483011754,0.22561309815540237,0.2299628094479259
T-IDM,43,41,0.2241913483011754,0.2256105019882363,0.2362751104710326
T-IDM,43,42,0.2241370033587264,0.22561040796346085,0.24985747835183486
T-IDM,43,43,0.22195366006970288,0.22561040796346085,0.23486676279443539
T-IDM,43,44,0.2218768296719377,0.2256082244065219,0.24215957239143607
T-IDM,43,45,0.2218768296719377,0.2256082244065219,0.25473665971848897
T-IDM,43,46,0.2218768296719377,0.2256082244065219,0.26772084609097224
T-IDM,43,47,0.21986321979799944,0.22414172611419347,0.2400465768356689
T-IDM,43,48,0.21986321979799944,0.22315144899592176,0.24594369857994816
T-IDM,43,49,0.2176641302853223,0.2225126699665037,0.2365160736762161
T-IDM,43,50,0.2176641302853223,0.2218768296719377,0.2306080278572698
T-IDM,43,51,0.2175497415895012,0.21986321979799944,0.23802174853244001
T-IDM,43,52,0.2175497415895012,0.21986317025873697,0.2324946384870811
T-IDM,43,53,0.2169847679980113,0.21959661692275878,0.23360527257030422
T-IDM,43,54,0.2169847679980113,0.21769503574508872,0.23756809836393583
T-IDM,43,55,0.2169847679980113,0.2176641302853223,0.23545020519391113
T-IDM,43,56,0.21513596254628337,0.2175497415895012,0.22727268933667644
T-IDM,43,57,0.21442103828879924,0.2175497415895012,0.2341940469378343
T-IDM,43,58,0.21441513589284003,0.2175497415895012,0.25742158558298067
T-IDM,43,59,0.21441513589284003,0.2176641302853223,0.23529147726657396
T-IDM,43,60,0.21441262194306174,0.2175978212396134,0.24402284559367776
T-IDM,43,61,0.21401812929708441,0.21755526473116354,0.23553775611845126
T-IDM,43,62,0.21401812929708441,0.21677545859177066,0.23248946333274795
T-IDM,43,63,0.21390557605753702,0.21441513589284003,0.23168739813890504
T-IDM,43,64,0.21366950440397084,0.21441456743576404,0.2217842859108697
T-IDM,43,65,0.21366950440397084,0.21401815789683398,0.22503703307964718
T-IDM,43,66,0.21366950440397084,0.21390558007497928,0.22999324126214965
T-IDM,43,67,0.21359101306299175,0.21390557605753702,0.2263177620732847
T-IDM,43,68,0.21358909269491846,0.2136695304941292,0.2235688004325828
T-IDM,43,69,0.21345063214464643,0.21366950440397084,0.22344199915873525
T-IDM,43,70,0.2134410308611732,0.21366950440397084,0.21767135403395974
T-IDM,43,71,0.2133879876487587,0.21358909269491846,0.23106700814878564
T-IDM,43,72,0.2133692468669151,0.21350946994022396,0.21907494179605216
T-IDM,43,73,0.2133304522128248,0.21345942690566902,0.2242337793530328
T-IDM,43,74,0.2133304522128248,0.21342324956471992,0.2327635359434289
T-IDM,43,75,0.21332347025846546,0.2133879876487587,0.2190882579436373
