time_s,model,s_m,v_mps,a_mps2,offset_m,x_m,y_m,gap_m,leader_s_m,leader_v_mps,leader_a_mps2,spacing_error_m,jerk_mps3
12.9,TMSFF,81.75534699092535,7.471325322220519,0.08044780207708806,6.438893360170904e-09,81.75534699117588,1.2510204260912419,19.12670496471766,100.882051955643,8.11968946521726,-0.291437724180247,-2.8732950352823394,-0.17571873369350635
13.0,TMSFF,82.50279399155261,7.477614690324644,0.06289368104125112,7.1931345666991215e-09,82.50279399182199,1.2224609485128601,19.189769721991397,101.692563713544,8.09054569279924,-0.450442588822736,-2.8102302780086035,-0.17728077740906104
13.1,TMSFF,83.25078041881805,7.4821138549841715,0.044991646595275846,8.034376045862288e-09,83.25078041910707,1.1949817376018375,19.248585651061944,102.49936606988,8.04550143391696,-0.614997988513628,-2.751414348938056,-0.18285239539903345
13.2,TMSFF,83.99912342032627,7.484746175180316,0.02632320196144443,8.97228797543957e-09,83.99912342063563,1.168603360754524,19.30171780300273,103.300841223329,7.9840016350656,-0.743400722489092,-2.698282196997269,-0.17646006093633695
13.3,TMSFF,84.74764653601635,7.485716138621116,0.009699634408008454,1.0017535124451843e-08,84.74764653634666,1.1433429307965743,19.347877847206647,104.095524383223,7.90966156281669,-0.910179650047044,-2.6521221527933534,-0.17663258197312073
13.4,TMSFF,85.4961731333063,7.484815807177799,-0.00900331443317972,1.1181870898658021e-08,85.49617313365809,1.1192143242431762,19.385766507948702,104.881939641255,7.81864359781199,-1.02812990585619,-2.614233492051298,-0.1767558148894945
13.5,TMSFF,86.24452645638122,7.48225065432081,-0.025651528569890447,1.2478235635569284e-08,86.24452645675484,1.0962281562823706,19.41413689512477,105.658663351506,7.71583060722637,-1.13896562898015,-2.58586310487523,-0.16056322430341832
13.6,TMSFF,86.99254594201683,7.478139058391423,-0.041115959293863386,1.3920861723438919e-08,86.99254594241246,1.0743913076447202,19.432005642067168,106.424551584084,7.60193404432835,-1.24037977443067,-2.5679943579328324,-0.15079718674651607
13.7,TMSFF,87.74008079302638,7.472557961799503,-0.05581096591919366,1.552539558070343e-08,87.740080793444,1.053707226378192,19.438462296618624,107.178543089645,7.47789606688528,-1.27119101674479,-2.5615377033813758,-0.12155230426818181
13.8,TMSFF,88.4870094571056,7.466015319784753,-0.06542642014749975,1.7309026112364034e-08,88.48700945754494,1.0341755260794188,19.432967284144397,107.91997674125,7.35077696521081,-1.35466433123766,-2.5670327158556034,-0.19340778771500763
13.9,TMSFF,89.23313852646676,7.4565660674385335,-0.0944925234621952,1.9290638045039687e-08,89.23313852692729,1.0157946516398748,19.41514258964824,108.648281116115,7.21531053208704,-1.35252659591293,-2.584857410351759,-0.3278654527315554
14.0,TMSFF,89.97814013565714,7.4434661163691525,-0.13099951069381083,2.1490898257857205e-08,89.97814013613801,0.9985627808349703,19.38490940068685,109.363049536344,7.08005787249575,-1.33382858446834,-2.615090599313149,-0.3821437098864581
14.1,TMSFF,90.72163214096686,7.426373989825204,-0.17092126543948682,2.39322736765513e-08,90.72163214146686,0.9824752094406473,19.342754039704133,110.064386180671,6.94667501404891,-1.22440023024704,-2.6572459602958673,-0.37461194353125615
14.2,TMSFF,91.46323993045239,7.405781799885197,-0.20592189940006206,2.6639093257002734e-08,91.46323993096989,0.9675228485027175,19.289691750472613,110.752931680925,6.82423499102421,-1.17757261014761,-2.7103082495273867,-0.35192641454689977
14.3,TMSFF,92.20261157769917,7.38165114505031,-0.24130654834886678,2.9637658425987276e-08,92.20261157823212,0.9536921358359772,19.22685573927683,111.429467316976,6.70647773000945,-1.03383138237048,-2.7731442607231713,-0.31519917103429884
14.4,TMSFF,92.93943188353616,7.354754971689618,-0.2689617336069218,3.2956368953152404e-08,92.93943188408198,0.9409651165819767,19.155514049528847,112.094945933065,6.6030945917724,-0.880955421265638,-2.844485950471153,-0.23972298210449716
14.5,TMSFF,93.67346112498127,7.325829857212642,-0.2892511447697662,3.6625870021600854e-08,93.67346112553686,0.929319279326277,19.07738949015473,112.750850615136,6.51499904964583,-0.719824698611768,-2.9226105098452706,-0.1665673109773544
14.6,TMSFF,94.40453273472353,7.295602337632403,-0.3022751958023927,4.067926704620952e-08,94.40453273528514,0.9187282790988885,18.994218661884474,113.398751396608,6.44301657978466,-0.553037522134429,-3.0057813381155256,-0.09437849244021357
14.7,TMSFF,95.13255233427049,7.264789653306622,-0.3081268432578089,4.515236740685204e-08,95.13255233483376,0.9091626039937933,18.907735532705516,114.040287866976,6.38771282757121,-0.25215973038925,-3.092264467294484,0.02618556731775329
14.8,TMSFF,95.85754610918946,7.235085845072737,-0.29703808233884205,5.0083957529782464e-08,95.8575461097493,0.9005896553236389,18.820252241891538,114.677798351081,6.36249685453229,-0.0505620401253926,-3.179747758108462,0.14637072576937332
14.9,TMSFF,96.5796604302062,7.207200575262344,-0.27885269810393426,5.551622399123834e-08,96.57966043075676,0.8929746440502011,18.734134796126796,115.313795226333,6.35744065051975,0.232199506688333,-3.2658652038732043,0.24850817929114033
15.0,TMSFF,97.29914380550004,7.182466930614282,-0.24733644648061398,6.14952607591348e-08,97.29914380603462,0.8862815720119189,18.651556483418958,115.950700288919,6.38066060118858,0.454406797450093,-3.3484435165810424,0.35266271147773504
15.1,TMSFF,98.01634889778242,7.161634915033444,-0.20832015580838725,6.8071637884312e-08,98.01634889829349,0.8804738614703562,18.574689485242573,116.591038383025,6.42610128093359,0.69384565556438,-3.4253105147574274,0.43465672177520465
15.2,TMSFF,98.73171036377514,7.145594404820887,-0.16040510212557305,7.530109050388804e-08,98.7317103642542,0.8755150849420765,18.505407375620862,117.237117739396,6.49548584649003,0.95469239125958,-3.4945926243791376,0.5302373729658607
15.3,TMSFF,99.44575844085117,7.135367136699365,-0.1022726812152151,8.324528087441716e-08,99.44575844128875,0.8713692877142948,18.445681345149836,117.891439786001,6.59095508561599,1.60993091167959,-3.5543186548501637,0.778228909264709
15.4,TMSFF,100.15927135791974,7.134891204672102,-0.004759320272631241,9.197275203597553e-08,100.15927135830532,0.8680007531260541,18.399313591201263,118.558584949121,6.75194817678395,1.55861385302911,-3.6006864087987367,0.8698768201431475
15.5,TMSFF,100.87311899180101,7.1420614729534435,0.07170268281341441,1.0156062383767265e-07,100.87311899212293,0.865375608582793,18.368453844263996,119.241572836065,6.90780956208686,1.50082818825954,-3.631546155736004,0.6907737059489512
15.6,TMSFF,101.58799211620094,7.155401015045159,0.133395420917159,1.1209606096539928e-07,101.5879921164464,0.8634625898856496,18.35186581701406,119.939857933215,7.05789238091281,1.43560286819298,-3.6481341829859417,0.5624415113012667
15.7,TMSFF,102.30445317263082,7.173820113552526,0.18419098507366777,1.236768489109793e-07,102.30445317278588,0.8622318025136373,18.34837201301619,120.652825185647,7.20145266773211,1.3618874127517,-3.6516279869838115,0.4421882724841472
15.8,TMSFF,103.02294434936316,7.196003421093925,0.22183307541398845,1.3641220338260442e-07,103.0229443494127,0.8616538683506787,18.35683554012084,121.379779889484,7.33764140900728,1.28383082510563,-3.6431644598791593,0.25868413570317533
15.9,TMSFF,103.74372433053362,7.219596202315356,0.23592781221430284,1.5042365219593617e-07,103.74372433046138,0.8616991495157567,18.376238853976375,122.11996318451,7.46602449151784,1.19637167107062,-3.623761146023625,0.07327787369964436
16.0,TMSFF,104.46686639401592,7.243245067330747,0.23648865015391732,1.658455709252707e-07,104.46686639380455,0.862336820006983,18.405681098002077,122.872547492018,7.58566165862491,1.10582598652881,-3.594318901997923,-0.0301633374486239
16.1,TMSFF,105.19234037647263,7.2662345818032055,0.22989514472457806,1.8282559168088357e-07,105.1923403761038,0.8635342249264598,18.444302411340374,123.636642787813,7.69624425727779,1.00565471166346,-3.5556975886596263,-0.08562977751277998
16.2,TMSFF,105.92006064812618,7.288170851268341,0.21936269465136132,2.0152540619618095e-07,105.92006064758068,0.8652566280523999,18.491234838972815,124.411295487099,7.79680972844413,0.895346512922091,-3.508765161027185,-0.11607521089192926
16.3,TMSFF,106.64991113376576,7.308838861522961,0.2066801025461922,2.2212185666954322e-07,106.64991113302368,0.8674671517829705,18.545542058742242,125.195453192508,7.88634437973634,0.774254858584522,-3.4544579412577576,-0.1329842200036907
16.4,TMSFF,107.38175884917129,7.328115446588023,0.19276585065062318,2.448082259036753e-07,107.38175884821227,0.8701268112156773,18.606200055602713,125.987958904774,7.96376986559479,0.64131437703059,-3.393799944397287,-0.14349782361927368
16.5,TMSFF,108.11546029651922,7.345913500370257,0.17798053782233747,2.6979568371043677e-07,108.11546029532276,0.8731945925323562,18.67208216669978,126.787542463219,8.02790130329785,0.510113290668319,-3.3279178333002193,-0.14655316942230517
16.6,TMSFF,108.85086892264009,7.3622590220468735,0.16345521676616215,2.973148576899696e-07,108.85086892118595,0.8766275773654097,18.742014237361914,127.592883160002,8.07891263236468,0.36877044792444,-3.2579857626380857,-0.14577702411791432
16.7,TMSFF,109.58783895050975,7.377141535346749,0.1488251329987546,3.2761756371880494e-07,109.58783894877845,0.8803810835362864,18.814779324968256,128.402618275478,8.11578967715713,0.217212056279733,-3.1852206750317436,-0.14850292065654622
16.8,TMSFF,110.3262218772076,7.390516998610234,0.1337546326348529,3.609786851871334e-07,110.32622187518112,0.8844087830830435,18.88906142626739,129.215283303475,8.1375108827851,0.0555846620096667,-3.1109385737326107,-0.15441955908086655
16.9,TMSFF,111.06586328317452,7.402311120728492,0.1179412211825813,3.97698125941047e-07,111.06586328083696,0.8886628233377055,18.963449031889482,130.029312315064,8.14306934898607,-0.0920503177501122,-3.036550968110518,-0.15422361085150632
17.0,TMSFF,111.8066089447997,7.412602111774947,0.10290991046455164,4.381028307167935e-07,111.80660894213831,0.8930940104276187,19.036550053574302,130.843158998374,8.13386431721106,-0.245522926047508,-2.9634499464256976,-0.15013109502867814
17.1,TMSFF,112.5483087309881,7.421393611992632,0.08791500217684567,4.825490094083412e-07,112.54830872799432,0.8976519962061956,19.1070090844769,131.655317815465,8.10931202460631,-0.403787045599775,-2.8929909155231,-0.15210050995593186
17.2,TMSFF,113.29081054122972,7.428642592839968,0.07248980847336527,5.314245639571311e-07,113.29081053790057,0.9022854098915831,19.17341954146727,132.464230082697,8.06893332004633,-0.565508658616885,-2.8265804585327317,-0.1577878581794622
17.3,TMSFF,114.03395658766642,7.434278335894064,0.05635743054095323,5.851515554510867e-07,114.03395658400599,0.9069420055990776,19.234339283742585,133.268295871409,8.01238245418464,-0.729070109819918,-2.7656607162574147,-0.1682730252169905
17.4,TMSFF,114.77757859727296,7.43816185623706,0.038835203429967165,6.44188724949912e-07,114.77757859329424,0.9115688114244965,19.28831016900503,134.065888766278,7.93947544320265,-0.855030626154527,-2.7116898309949704,-0.1686282339742659
17.5,TMSFF,115.52150794181541,7.44042503461167,0.022631783746100042,7.090340118604389e-07,115.5215079375424,0.9161123824848908,19.334053215652588,134.855561157468,7.8539723805872,-0.973879081475765,-2.665946784347412,-0.15804859844712127
17.6,TMSFF,116.26558657269528,7.4411475829857245,0.007225483740542911,7.802274039009912e-07,116.26558656816538,0.9205190592838365,19.370502427423716,135.636089000119,7.75658447243962,-1.08951005363076,-2.629497572576284,-0.15346500335479651
17.7,TMSFF,117.0096610249092,7.440341461293238,-0.008061216924859267,8.583542245390388e-07,117.00966102017604,0.9247351160719821,19.396638872185804,136.406299897095,7.64763346707654,-1.19638188719274,-2.603361127814196,-0.15248433047462095
17.8,TMSFF,117.75357881412677,7.4380143230578,-0.023271382354381278,9.44048450547882e-07,117.75357880926337,0.9287069245378051,19.41150252024022,137.165081334367,7.52799527835727,-1.29208829448261,-2.5884974797597806,-0.151262686386454
17.9,TMSFF,118.49718867766151,7.434182947637585,-0.038313754202150066,1.0379960887053115e-06,118.49718867276394,0.9323811404904863,19.414231743068484,137.91142042073,7.39878644890901,-1.3122429177966,-2.585768256931516,-0.15203740476277788
18.0,TMSFF,119.24033857810875,7.428815061306891,-0.05367886330693686,1.1409387144669892e-06,119.24033857330016,0.9357048788837629,19.404399272923257,138.644737851032,7.26756215712935,-1.31832076552817,-2.595600727076743,-0.2229392422333823
18.1,TMSFF,119.9828055762262,7.4205249010420085,-0.08290160264882653,1.2536770828605173e-06,119.98280557166143,0.9386256450802133,19.382096886690803,139.364902462917,7.13573008057653,-1.31025497916493,-2.617903113309197,-0.3306316617168049
18.2,TMSFF,120.72425904035214,7.408544381476979,-0.11980519565029785,1.3770717552865587e-06,120.72425903622268,0.9410916351605731,19.347665155726872,140.071924196079,7.00470458266004,-1.28214808680279,-2.6523348442731276,-0.38508478567605686
18.3,TMSFF,121.46431388570092,7.392552525498575,-0.1599185597840379,1.5120411884371933e-06,121.46431388224045,0.9430524685179963,19.30167002821007,140.765983913911,6.87648977397976,-1.2369533834417,-2.6983299717899314,-0.403004857174577
18.4,TMSFF,122.20256710741533,7.372511908790054,-0.20040616708521325,1.659561166620211e-06,122.2025671049058,0.9444597494207859,19.244881016976663,141.447448124392,6.75279443563559,-1.09496696000052,-2.755118983023337,-0.36647232876786323
18.5,TMSFF,122.93865223316666,7.349190606236292,-0.23321302553761056,1.8206652664635445e-06,122.93865223194496,0.9452674996727408,19.178600499988335,142.117252733155,6.64329773963554,-0.943426641012443,-2.8213995000116654,-0.2914587639355862
18.6,TMSFF,123.67227780419094,7.323320814249059,-0.2586979198723305,1.9964480150500375e-06,123.6722778046563,0.9454323032969519,19.104587569723066,142.776865373914,6.54895507553429,-0.78428372625497,-2.8954124302769344,-0.21899100944780328
18.7,TMSFF,124.40322482947869,7.295619691506342,-0.2770112274271712,2.188070745811788e-06,124.40322483210078,0.9449132280784132,19.024614633357317,143.427839462836,6.4705267029088,-0.619761719654789,-2.9753853666426835,-0.1476915586091601
18.8,TMSFF,125.13134561747137,7.266796068346926,-0.2882362315941625,2.3967680835752133e-06,125.13134562279913,0.9436716767736303,18.94044770705662,144.071793324528,6.40855053094332,-0.383880792185123,-3.05955229294338,-0.051474119933350715
18.9,TMSFF,125.85658869404898,7.238065463205542,-0.28730605141384136,2.6238553418724906e-06,125.85658870272049,0.9416710828722885,18.854140279613006,144.710728973662,6.37016245172481,-0.165865301731223,-3.1458597203869942,0.05680395841530822
19.0,TMSFF,126.57901086316998,7.210377919214432,-0.27687543991110086,2.8707393685114626e-06,126.57901087592334,0.938876421824786,18.76790502915601,145.346915892326,6.35357592155168,0.0869967789232364,-3.2320949708439883,0.16239180504669548
19.1,TMSFF,127.29877451663941,7.184895150173982,-0.25482769040450226,3.1389326233982465e-06,127.29877453432503,0.9352536319437988,18.683933951735582,145.982708468375,6.36227559944401,0.386431475504428,-3.3160660482644175,0.291693879342117
19.2,TMSFF,128.01617134833657,7.163041483769715,-0.21853666404267746,3.4300697615420023e-06,128.01617137193105,0.9307687830877033,18.60469683736042,146.620868185697,6.40091874699445,0.611140406193238,-3.3953031626395784,0.3990812503958857
19.3,TMSFF,128.73160043951194,7.145540339737182,-0.17501144032532512,3.745930190560787e-06,128.73160047013377,0.9253873516051511,18.53241532291605,147.264015762428,6.46203278761377,0.857219174346191,-3.4675846770839485,0.48064334568443556
19.4,TMSFF,129.44554243351112,7.133299540246603,-0.12240799490579035,4.08846244763851e-06,129.44554247243858,0.9190736146037438,18.46896270354989,147.914505137061,6.54775470504839,1.13665434861735,-3.5310372964501084,0.5824896747816415
19.5,TMSFF,130.15857982000892,7.127448189709703,-0.05851350536899681,4.459809835575454e-06,130.15857986870054,0.9117896835496415,18.41638405930007,148.574963879309,6.66142013991013,1.58578727120194,-3.5836159406999286,0.7551178326824499
19.6,TMSFF,130.87146771683805,7.130309746872773,0.028615571630699645,4.862343753713748e-06,130.8714677769572,0.9034936859476892,18.377567112817957,149.249034829656,6.81999886703032,1.53126084853767,-3.6224328871820433,0.7792676230696166
19.7,TMSFF,131.58498539162153,7.140043748797265,0.09734001924492652,5.298714438468117e-06,131.5849854650638,0.8941402857108747,18.353705628980464,149.938691020602,6.97312495188409,1.46978649540518,-3.646294371019536,0.6216417480410052
19.8,TMSFF,132.29975448610747,7.155338140921156,0.1529439212389007,5.771886191687526e-06,132.29975457502997,0.8836829763713134,18.34359796215952,150.643352448267,7.12010360142461,1.40024299965974,-3.656402037840479,0.5064736066158942
19.9,TMSFF,133.01628147390244,7.175201614977966,0.19863474056810537,6.2851447768774634e-06,133.01628158075673,0.8720742947762449,18.346082549505553,151.362364023408,7.26012790139058,1.32643276483988,-3.653917450494447,0.45690819329204685
0.0,C-FVD,-12.6612375122941,8.7,0.0,-0.25,-12.623883763356465,-0.8555227279754795,23.0,10.3387624877059,5.0,1.46761876903128,1.0,-31.0
0.1,C-FVD,-11.8067375122941,8.389999999999999,-3.1,-0.2415,-11.770713073025162,-0.7181000669055431,22.6528380938452,10.8461005815511,5.14676187690313,1.39668782013276,0.652838093845201,-15.5
0.2,C-FVD,-10.9832375122941,8.079999999999998,-3.1,-0.233289,-10.948525730867274,-0.5859137346530136,22.3509977206361,11.367760208342,5.2864306589164,1.31012732070152,0.35099772063610146,0.7271994790227265
0.3,C-FVD,-10.190010312815076,7.7845439895804525,-2.954560104195455,-0.225357174,-10.156589519312798,-0.4589245342373144,22.092964223652274,11.9029539108372,5.41744339098656,1.22495779148496,0.09296422365227386,2.0396091765164592
0.4,C-FVD,-9.425016304680515,7.515336173110781,-2.6920781646967082,-0.21769503008399999,-9.392860932588409,-0.33687505856654887,21.875839343573816,12.4508230388933,5.53993917013505,1.12013502263228,-0.12416065642618435,2.567062671427607
0.5,C-FVD,-8.685688425218988,7.271221416119788,-2.4411475699099334,-0.210293399061144,-8.654770030504226,-0.21941417573564043,21.69610605623889,13.0104176310199,5.65195267239828,1.01994350357583,-0.30389394376111056,2.4400756800569967
0.6,C-FVD,-7.9695865987504355,7.050815113251257,-2.204063028685309,-0.2031434234930651,-7.939874652494447,-0.10619978687328163,21.550299214528035,13.5807126157776,5.75394702275586,0.897607105738175,-0.4497007854719648,2.2989631870991634
0.7,C-FVD,-7.274411862087761,6.852679620002247,-1.9813549324901008,-0.19623654709430088,-7.245874396695078,0.0030958778835768475,21.43500721566966,14.1605953535819,5.84370773332968,0.784107549978624,-0.5649927843303395,2.145883179705251
0.8,C-FVD,-6.598018332051256,6.675190980727821,-1.7748863927442586,-0.18956450449309464,-6.570622461691299,0.10878203710698367,21.346904996716056,14.7488866646648,5.92211848832754,0.645070011456174,-0.6530950032839442,1.9850724761800043
0.9,C-FVD,-5.938420936164745,6.516756937002412,-1.5843404372541,-0.18311931134032944,-5.912133270792078,0.21114639675246313,21.282744799719545,15.3443238635548,5.98662548947316,0.522637223406086,-0.7172552002804551,1.8181691217904905
1.0,C-FVD,-5.293801505306434,6.375631680163796,-1.4112525683861605,-0.17689325475475823,-5.268588475092491,0.31045295882245505,21.239401103925633,15.9455995986192,6.03888921181377,0.3994371833382,-0.7605988960743666,1.6497865746538554
1.1,C-FVD,-4.66251025290167,6.2501933679314625,-1.2543831223233288,-0.17087888409309646,-4.6383383588084905,0.4069409376730279,21.213995958618874,16.5514857057172,6.07883293014759,0.276222336346923,-0.7860040413811262,1.489102330149873
1.2,C-FVD,-4.043058076620306,6.138850157695844,-1.113432102356186,-0.16506900203393118,-4.019894082578498,0.5008253315442348,21.203808187034006,17.1607501104137,6.10645516378228,0.155637261232532,-0.7961918129659935,1.3321512607286772
1.3,C-FVD,-3.434112825201609,6.040054870678084,-0.9879528701775934,-0.1594566559647775,-3.411923901773912,0.5922971719557091,21.20628663829971,17.7721738130981,6.12201888990553,0.0420833483574496,-0.7937133617002914,1.1807921470168936
1.4,C-FVD,-2.8344937064985656,5.952327503382803,-0.8772736729528072,-0.15403512966197508,-2.8132475357621685,0.6815242457078752,21.219079825328965,18.3845861188304,6.12622722474128,-0.0627824603593543,-0.780920174671035,1.0376406568947383
1.5,C-FVD,-2.2431630798542783,5.874285029502938,-0.7804247387986457,-0.14879793525346793,-2.2228279300624436,0.7686523398060499,21.240058008857076,18.9968949290028,6.11994897870534,-0.154611458171812,-0.7599419911429237,0.9047031650064141
1.6,C-FVD,-1.6592162421037415,5.804651725507786,-0.6963330399515244,-0.14373880545485002,-1.6397610192526524,0.853806870170246,21.267333011686244,19.6081167695825,6.10448783288816,-0.180194079379433,-0.7326669883137562,0.7837313296763587
